epoch,run,model,feature_family,apbs_variant,checkpoint,postprocess_mode,threshold,top_k_label,top_k,pocket_f1,pocket_precision,pocket_recall,paper_tp,paper_fp,paper_fn,dcc_success_rate_4a,dca_success_rate_4a,mean_best_dcc_angstrom,mean_best_dca_angstrom,mean_best_dvo_all,mean_dvo_of_best_dcc_all,mean_dvo_of_best_dcc_success,mean_predicted_positive_voxels,mean_candidate_count,no_prediction_count,sample_count
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,CBAMUNet3D,apbs_shape,apbs_full_signed,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.4,top2,2,0.744186046511628,0.6153846153846154,0.9411764705882353,64,40,4,0.5925925925925926,0.7962962962962963,9.728666108157359,7.657660712509673,0.4047710324158984,0.4047710324158984,0.48543311075559115,120.72222222222223,1.3148148148148149,4,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,CBAMUNet3D,apbs_shape,apbs_full_signed,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.4,top3,3,0.744186046511628,0.6153846153846154,0.9411764705882353,64,40,4,0.5925925925925926,0.7962962962962963,9.728666108157359,7.657660712509673,0.4047710324158984,0.4047710324158984,0.48543311075559115,120.72222222222223,1.3703703703703705,4,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,CBAMUNet3D,apbs_shape,apbs_full_signed,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.4,top_n_plus_2,3,0.744186046511628,0.6153846153846154,0.9411764705882353,64,40,4,0.5925925925925926,0.7962962962962963,9.728666108157359,7.657660712509673,0.4047710324158984,0.4047710324158984,0.48543311075559115,120.72222222222223,1.3703703703703705,4,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_posneg_clip20,ResNet3D4L,apbs_shape,apbs_posneg_clip20,ResNet3D4L_best_model_in_terms_of_validation_paper_f1.pth,raw,0.05,top3,3,0.736842105263158,0.5943396226415094,0.9692307692307692,63,43,2,0.5833333333333334,0.7962962962962963,7.59446782087108,5.571597601284282,0.3679298110090168,0.3679298110090168,0.4387532732539307,220.57407407407408,1.6481481481481481,2,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_posneg_clip20,ResNet3D4L,apbs_shape,apbs_posneg_clip20,ResNet3D4L_best_model_in_terms_of_validation_paper_f1.pth,raw,0.05,top_n_plus_2,3,0.736842105263158,0.5943396226415094,0.9692307692307692,63,43,2,0.5833333333333334,0.7962962962962963,7.59446782087108,5.571597601284282,0.3679298110090168,0.3679298110090168,0.4387532732539307,220.57407407407408,1.6481481481481481,2,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_posneg_clip20,ResNet3D4L,apbs_shape,apbs_posneg_clip20,ResNet3D4L_best_model_in_terms_of_validation_paper_f1.pth,raw,0.05,top2,2,0.736842105263158,0.5943396226415094,0.9692307692307692,63,43,2,0.5833333333333334,0.7870370370370371,7.71772594423116,5.712942157318672,0.36412322664687685,0.36412322664687685,0.4387532732539307,220.57407407407408,1.4351851851851851,2,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,ResNet3D4L,apbs_shape,apbs_full_signed,ResNet3D4L_best_model_in_terms_of_validation_paper_f1.pth,raw,0.1,top3,3,0.7368421052631579,0.6,0.9545454545454546,63,42,3,0.5833333333333334,0.8148148148148148,8.923580252460479,6.726680699080649,0.39138131122780384,0.39138131122780384,0.4936938790454373,156.39814814814815,1.4537037037037037,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,ResNet3D4L,apbs_shape,apbs_full_signed,ResNet3D4L_best_model_in_terms_of_validation_paper_f1.pth,raw,0.1,top_n_plus_2,3,0.7368421052631579,0.6,0.9545454545454546,63,42,3,0.5833333333333334,0.8148148148148148,8.923580252460479,6.726680699080649,0.39138131122780384,0.39138131122780384,0.4936938790454373,156.39814814814815,1.4537037037037037,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,ResNet3D4L,apbs_shape,apbs_full_signed,ResNet3D4L_best_model_in_terms_of_validation_paper_f1.pth,raw,0.2,top2,2,0.7368421052631579,0.6,0.9545454545454546,63,42,3,0.5833333333333334,0.8055555555555556,9.504389670943423,7.240897569273384,0.3900143757857912,0.3900143757857912,0.49988981053070103,143.1851851851852,1.3333333333333333,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_full_signed,UNet3D4LA,apbs_shape,apbs_full_signed,UNet3D4LA_best_model_in_terms_of_validation_paper_f1.pth,raw,0.45,top3,3,0.7294117647058824,0.5904761904761905,0.9538461538461539,62,43,3,0.5740740740740741,0.7870370370370371,8.639623305990868,6.653245697560824,0.40159849006922643,0.40159849006922643,0.4878751367798392,139.59259259259258,1.4166666666666667,3,108
