epoch,run,model,feature_family,apbs_variant,checkpoint,postprocess_mode,threshold,top_k_label,top_k,pocket_f1,pocket_precision,pocket_recall,paper_tp,paper_fp,paper_fn,dcc_success_rate_4a,dca_success_rate_4a,mean_best_dcc_angstrom,mean_best_dca_angstrom,mean_best_dvo_all,mean_dvo_of_best_dcc_all,mean_dvo_of_best_dcc_success,mean_predicted_positive_voxels,mean_candidate_count,no_prediction_count,sample_count
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.05,top1,1,0.6329113924050633,0.47619047619047616,0.9433962264150944,50,55,3,0.46296296296296297,0.6666666666666666,11.883481889354764,9.461201181281458,0.3494869735956001,0.3494869735956001,0.48276703193561665,163.7962962962963,0.9722222222222222,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.05,top2,2,0.6829268292682926,0.5333333333333333,0.9491525423728814,56,49,3,0.5185185185185185,0.7407407407407407,8.554351336153433,6.290149989888896,0.38265470711723143,0.38265470711723143,0.4730185352678436,163.7962962962963,1.2962962962962963,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.05,top3,3,0.6829268292682926,0.5333333333333333,0.9491525423728814,56,49,3,0.5185185185185185,0.7407407407407407,8.554351336153433,6.290149989888896,0.38265470711723143,0.38265470711723143,0.4730185352678436,163.7962962962963,1.3425925925925926,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.05,top_n_plus_2,3,0.6829268292682926,0.5333333333333333,0.9491525423728814,56,49,3,0.5185185185185185,0.7407407407407407,8.554351336153433,6.290149989888896,0.38265470711723143,0.38265470711723143,0.4730185352678436,163.7962962962963,1.3425925925925926,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.1,top1,1,0.65,0.49523809523809526,0.9454545454545454,52,53,3,0.48148148148148145,0.6944444444444444,11.547237003885785,9.183251642638186,0.35866355280798706,0.35866355280798706,0.48699026851524135,149.5648148148148,0.9722222222222222,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.1,top2,2,0.6829268292682926,0.5333333333333333,0.9491525423728814,56,49,3,0.5185185185185185,0.7592592592592593,8.510710321227595,6.267596112155898,0.3856910980980899,0.3856910980980899,0.4807135617076325,149.5648148148148,1.2777777777777777,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.1,top3,3,0.6829268292682926,0.5333333333333333,0.9491525423728814,56,49,3,0.5185185185185185,0.7592592592592593,8.510710321227595,6.267596112155898,0.3856910980980899,0.3856910980980899,0.4807135617076325,149.5648148148148,1.3148148148148149,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.1,top_n_plus_2,3,0.6829268292682926,0.5333333333333333,0.9491525423728814,56,49,3,0.5185185185185185,0.7592592592592593,8.510710321227595,6.267596112155898,0.3856910980980899,0.3856910980980899,0.4807135617076325,149.5648148148148,1.3148148148148149,3,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.2,top1,1,0.6666666666666666,0.5192307692307693,0.9310344827586207,54,50,4,0.5,0.6944444444444444,12.46549248721484,10.11977679759075,0.35670830306613877,0.35670830306613877,0.4779765758685174,136.2037037037037,0.9629629629629629,4,108
,scpdb_apbs_cutoff_fold1_apbs_shape_apbs_clip20_minmax,CBAMUNet3D,apbs_shape,apbs_clip20_minmax,CBAMUNet3D_best_model_in_terms_of_validation_paper_f1.pth,raw,0.2,top2,2,0.6987951807228916,0.5576923076923077,0.9354838709677419,58,46,4,0.5370370370370371,0.7685185185185185,9.296878557810087,7.062210460305353,0.3878709602695216,0.3878709602695216,0.4712753224696358,136.2037037037037,1.2592592592592593,4,108
